,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
101,0,stop watching,0,thanks look,hlne congratulation time classroom summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,thanks everyone question,0,hope week love,spread washi tape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,thank everyone,0,ross geller hope week,mine phase thing tape slot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,thank everyone vigilant,0,thanks hope week,place fabric tape load class thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,thank time,0,morning hope,congratulation news luck everything touch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,thank time,0,morning hope,congratulation luck everything science touch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,thank time,0,morning hope,congratulation luck everything touch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,suggestion list,0,year hope state,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,suggestion apps,0,year hope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,suggestion place,0,year hope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,magician stick,0,thing people luke fact plot fact recluse universe saber jump xwing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,something anything stick show magnum mile,0,luke blast yeovil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,wait stick,0,rise skywalker shit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,blimey uncle,0,threepairsof kind fact father tomorrow weekend colin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,blimey something,0,thanks colin team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,blimey luck,0,okay house house colin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,diagram class need glue stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,swap couple glue stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,glue triangle issue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,thanks book,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,thanks link book time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,thanks book post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,thank feedback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,thanks kind feedback hugh please question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,thanks feedback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,meaning world rest phase star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,nothing star tbobf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,star banner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,awww visit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,ouseburn visit toon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,return visit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,kind thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,kind thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,kind thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,thank kind word,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,thank word,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,thank kind word,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,part solution society societal structuresexpectations family stage society year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,people rcht work family people care move,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,matter saviour family solution matter coresponsibility nature work family depth interaction engagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,thank kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,thank kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,thank kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,brilliant thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,brilliant thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,brilliant thank work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,yepa time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,cute time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,time right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,thank yooou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,mwah thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,oooo thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,thank work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,thanks work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,thank work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,ohhh clue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,clue afraid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,sort knew clue something,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,treat everyone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,treat someone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,nobody care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0,view environment place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,site view,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,definite cheap viewfinder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,thank detail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,detail thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,thanks detail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,blimey hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,wollaton hall welcome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,name colston hall refurbishment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0,elli legend future legend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,ross specialistschristians story,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,legend good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,anyone problem task apple watch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,laptop watch class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,blue match watch phone ipad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,enjoy week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,thanks katsura week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,thanks week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,raspberry pink pride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,pink bendybacon cannot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,pink hooch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,investigating thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,meant thank request,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,thank builder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,thank today,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,thank today,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,thank today,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,craig week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,mail lobotomy craig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,craig show damn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,licence bond film,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,james bond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,plot james bond speed backwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,approach people insight anyone thread,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,insight hkfc posting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,insight talk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,brilliant idea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,cute idea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,brilliant idea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,glad year couple week,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,glad time year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,0,glad today year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,0,welcome world account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,thanks show world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0,welcome world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,0,excellent choice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0,excellent choice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,choice thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
