,0,1,2,3,4,5,6,7,8,9
169,0,thanks  work  ,thisssss  ,question  ,today care charity  launch care week september celebrate care workers respect recognition awareness people     ,wave staff prevent inhospital covid infections day infection prevention control guidance please guidance patients colleagues    ,0,labour party ,payton number ogs ,step count  
170,0,thanks  work ,yeeessssss i  ,question   ,work tomorrow work care question colleagues answers  ,wave staff prevent inhospital covid infections day infection prevention control guidance please guidance patients colleagues    ,0, labour party people , i picture i pissedt payton fact psycho ,step count  
171,0,thank support week        , marmalade ,thank people ,cook share month  cook meal snack anything share friends today register      ,nigeria records covid cases  ,0,comedy bits times people ,rcni nursing careers jobs revalidation hours  , kit i k 
172,0,today  support  aka   years thank   ,                                            marlena gang idea   ,        thank people , celebrates  community food heroes cook share month launches world food day year part celebrate food heroes community  ,nigeria records death covid infections ,0, skits comedians actors ,rcni nursing careers jobs fair place september place job role advice sessions event register     ,    ooh i think kit  
173,0, support tool week  , heheh awww lil doglet ,thanks somebody ,food connections community cook share month easy cook meal snack anything share friends   ,nigeria records cases deaths ,0,divine comedy ,rcni nursing careers jobs sessions career development certificate attendance event register     ,nah nothing kits 
174,0,carol ,ok  ,i wagon wheels wait orange flavour  ,painting cpr guidance levels  ,publication day     cannot wait part thanks   ,0,research headlines ,thank event  rcni education art please share images thoughts event experience      ,management speak examples 
175,0,carol  , ok ,ok kit orange   ,people success cpr  , provoking piece publishing  ,0,research headlines ,rcni access journals rcni learning rcni portfolio platform code tryplus today  ,  management ist leitung meine ich ganze zeit mit 
176,0,                  friday carol , ok , orange matchmakers ,crews minutes bystanders percent arrest cases home therefore cpr lives difference       ,publication day     ,0,researchers  containment strategy cases gatheringsread commentary    ,comfort home go rcni education art place june register ticket today    ,     reason i management ok 
177,0,career healthcare assistant team hca taster days role    , horizons ,love peace ,yay congratulations ,bird tracks sand swan   ,0,bc msm bbc ,fons expressions interest facilitators supervision  opportunity team round please share      , i tonight  
178,0,career healthcare assistant team hca taster days role   ,flight superrich disregard planet  ,love peace , yay congratulations  ,i swanky ,0,  bbc act ,            interest impact falls supervision levels  ,i tonight fuck 
179,0, day  nurses hcsws career development details lots hcsw chats ,          way planets ,love peace ,yay congratulations ,swan restoration group trumpeter swans today c windchill ,0,bbc   ,fons facilitators supervision staff impacts     ,i flashbacks attempt tonight days  
180,0, suspense ,vibes , couple days days  , orchestra back ship ,matt investigation regulator  ,0, bet parties ,skills ward manager  opportunity network insights discount fons events  ,ffs   
181,0,pleasure cannot wait excitement , vibes ,couple days   ,  i ship  ,investigations unit ,0, party state ,skills ward manager sept opportunity network insights discount fons events     ,i  bc i shadow ffs i work i  needs 
182,0,  days excitement  , vibes  , i havent couple days  ,cargo ships  , i  part investigation   ,0,  patterson mp party story  ,clinics chance nurse clinics planning stage service discount fons event page         ,ffs i zero business  
183,0,   john smith , awww congratulations ,check ,home salsa    ,nursing team supervisor vacancy medecins sans frontieres france  ,0,zaghariratcliffe way home  news  ,dive research facetoface sessions participants  onset support  , lockdown plenty people 
184,0,cricket mr smith ,awww congratulations treweryn hands , checks  ,spot salsa morning day ,nursing team supervisor vacancy medecins sans frontieres france  ,0, news lesley ,checker way facetoface hunts scapegoat  ,lockdown  
185,0,john smith , awww congratulations ,    check  ,      days studies salsa fun  ,nursing team supervisor medecins sans frontieres france  ,0,zaghariratcliffe official signing confession release  ,facetoface support prevention treatment     ,yo son lockdown stay night lmao  
186,0,        dream  ,idea craig , none ,    congratulations positions victoria  ,view ireland protocol bill provocation  editorial  ,0, run commentary ,jobs women degrees men degrees jobs entry level jobs men woman steel works , i women children offer place stranger vetting  
187,0,dream  ,work craig train  , course none ,congratulations wishes role    ,peace process  government language legislation ireland  ,0,absence lee dixon rest commentators martin tyler  , professions women future  employers womens , loss life something 
188,0,dream   ,craig ,none ,congratulations role ,germany ireland denounce bid ireland protocol  ,0,    commentator ,pay i colleagues professionals matter gender ratio ,loss lots people 
189,0, onwards sluice  ,thursday   ,fact life everybody opinion , i help nurses doctors bed  ,track home occupancy rates unit group analysis reports business data      ,0,biden  , trouble  ,morning shaun  
190,0,sluice i ,thursday  ,people politics opinion agree sentence , i i nurses bed rest ,track home occupancy rates unit group analysis reports business data      ,0,     biden nom ,   trouble years ,morning shaun day 
191,0, sleeeeeeep please something  ,  thursday   flea market , opinion opinions facts ,i nurse  ,track home occupancy rates unit group analysis reports business data    ,0, ahhh biden ,  trouble  ,morning shaun day 
192,0,           morning chris friends day ,      july   ,grease i hill , aaaaah ,covid ncdc registers recoveries jumps ,0,update pathway president votes lead wisconsin k margin biden  lead nevada neck neck   ,fons news edition  trusteees ipdj editors plenty events  share         , rhymes punt 
193,0,          morning chris friends today day ,july     one , dirty grease ,aaaaah  ,covid ncdc registers infections ,0,update pathway president votes winner wisconsin michigan  biden k   biden  votes  biden  votes    ,fons news lots access stuff        ,wonderful kicks ampfeet ribs 
194,0,          hello chris friends check today  morning day , mags july , consultant statorhea bulky greasy , aaaah ,covid ncdc registers infections ,0,update pathway president votes  biden margin  biden k   biden  votes  biden  vote tf     ,fons look     comments items  ,powerhouse kick conversation  
195,0,  hang  ,patience   , everyone cut grass dogs , nooooo kerry   ,nigeria anyone anytime ,0,bastards ,fons news feedback practice development school receive inbox        ,strangers one 
196,0,   hang i  ,restrepia i  patience virtue      ,cut grass ,time kerry ,nigerians ,0,bastards  ,edition nursing range fons activities inbox        ,stranger airplane years life mystery woman  
197,0, hang ,lack patience i  ,eamonn ryan digesters emission reduction grass diesel slurry ,time kerry ,states nigeria foot ,0, bastards ,fons news week box   practice development school academics richard sue share      , i stranger things stuff middle year series experience time things stuff primark 
198,0,leader  , change everyone zaha transfer window , vet  ,odsp rates people poverty voice call  ,chaos paper access data records computer technology business speak       ,0,right tools documents accuracy access reporting intensive cost way     ,afternoon everyone newsletter online edition  link    newsletter       ,woo hooo  
199,0, leader , cannot wait zak ,candidates vet job  package  ,one ontario disability poverty call premier  rates everyone sign share        ,chaos paper access data records computer technology business speak      ,0,documents improves access reporting lots time term      ,afternoon everyone newsletter online edition  link    newsletter      ,    woo hoo  dog  
200,0,  leader sense ,zayn , time vets ,people scott ferguson  payments poverty line nothing people disability life dignity call premier  sign share    ,chaos paper access data records computer technology business speak       ,0,documents improves access reporting lots time term      ,afternoon everyone newsletter online edition  link    newsletter      ,woo hoo  
201,0,  time focus leadership roles agile care leadership government  team focus nhsei , timeline ,shade charles ,framevr video camera vr health education opportunities people crisis fear mistake ,fusion i processes  years simplicity quickness ease use invoice generation     ,0, care sector shelf product  ,0,nursing years route skills job    
202,0,time leaders working community care step   ,recommend  s timeline ,sat table shade  ,vr headsets niche gadget techsavvy gamers homes entertainment education business healthcare       ,create contracts criteria fusion invoices accounts track client ledgers purchase ledgers ease    ,0,shelf product software package company        ,0,nursing years route skills job    
203,0,ics london care executive role leadership team  ,   blessing timeline ,shade  ,vr work whilst vr     , accounting software invoices period receipts guess work    ,0,shelf product software package company     ,0,nurse something part rhymes nursing years route skills job    
204,0,   morning johnny ,thank jade x ,spice life  , i i history algarve i proper ,boom boommmm   ,0,0,0,aid  
205,0, tomoz morning  ,  jade  , spice , history ,boom booommmmmm  ,0,0,0,kool aid 
206,0,   morning john ,   thanks jade ,i peppers , i understands history ,boom boommmmmmm   ,0,0,0, call aid spaces 
207,0,   morning dearest annie , grace , york city love  ,school children portions fruit day  mission fruit veg consumption sign schools programme   ,rivers state mcpdp schedule june credit units nursing midwifery council nigeria license renewal   ,0,0,0,    slide 
208,0,          morning angel dear ,grace frankie ,ah whereabouts york sounds ,school children portions fruit day  mission fruit veg consumption sign schools programme   ,rivers state mcpdp schedule credit units nursing midwifery council nigeria license renewal   ,0,0,0, pictures matter esme top slide  
209,0,           morning dear angel , grace god  , york ,children fruit veg suspension school fruit veg scheme call    scheme   ,rivers state mcpdp schedule credit units nursing midwifery council nigeria license renewal   ,0,0,0,thank accessibility students dont squeeze slide 
210,0,          angel , penny  , i sweat i change actions ,school cooks caterers join  development manager caron longden covid recovery qampa session  wednesday questions advice sign  ,practice  network focus group session   date june  june pm june pm et register  ,0,0,0,research  practice article sage nursing    
211,0,angel   ,screwdriver pirates ,phone sweat ,school cooks caterers start wednesday jan recovery qampa session share concerns questions connect others profession  ,session june et practice  competencies group discussion   input  ,0,0,0,sage article nursing   
212,0,aww rip angels  ,pirate blaster years penny ,night group  hot sweaty   ,cooks caterers questions concerns school food service time support qampa session   , place join discussions session expansion  scope practice learn register  ,0,0,0,risk disease people sage nursing paper   
213,0,lord ,  course hope birthday  ,lots   ,0,paper records business time speak setup service    information  ,0,0,0,voices bites march   
214,0,lord  ,birthday   person hope day , lots ,0,paper records business time speak setup service    information  ,0,0,0, voice timing sucht pain gusting stormy wind lyrics 
215,0,lordy  , birthday hope day , lots ,0,paper records business time speak setup service    information  ,0,0,0,voices bites march   
216,0,staff students  , yeah thanks bit tender xx , gentleman heart i cow ,0,staff resident data entry speak fusion   ,0,0,0,pre night shift   
217,0,  i students staff  ,thanks  asthma keep loop xx , i guess i location cows countryside halls residence city  cities ,0,staff resident data entry speak fusion     ,0,0,0,pre night shift    
218,0,staff cicu tonight years i student  ,thanks xx , i mates ring rest cheeky cow ,0,staff resident data entry speak fusion   ,0,0,0,pre night shift   
219,0,thank day ,  hope day ,i someone  ,0,care home owners overview occupancy pipeline staffing compliance property group contact salescom  ,0,0,0,0
220,0,thank day ,  hope day ,   i someone ,0, ageuk list firms people electricians plumbers agencies books branch ,0,0,0,0
221,0,thank day , hope ye day   ,i someone  ,0,care home owners overview occupancy pipeline staffing compliance property group contact salescom  ,0,0,0,0
222,0,sense public jan teachers ,thank everyone report  recap year      ,yes couple ,0,things care business fusion care home software finger time income data business  infocom   ,0,0,0,0
223,0, teachers ,thank year ,threesome  ,0,things care business fusion care home software finger time income data business  infocom   ,0,0,0,0
224,0,  mine teacher  , thankyou touch year ,i  couple i   ,0,things care business fusion care home software finger time income data business  infocom   ,0,0,0,0
225,0,communicate patients shortage providers interactions ,morning   l hope friend , numbers metaraminol aside dizziness  ,0,things care business fusion care home software finger time income data business   ,0,0,0,0
226,0,           communication board years professionals carers people services century communication country symptom service ,                                         morning hope day , i insane amount meds function vertigo life years ,0,things care business fusion care home software finger time income data business   ,0,0,0,0
227,0,i managers distance interest patients ,                                      morning hope today day ,i care tune symptoms course evidence experience tune dizziness   ,0,things care business fusion care home software finger time income data business    ,0,0,0,0
228,0, people hartlepool i  jobs ,beauty  ,care nurse treat competition balmonds worth       ,0,data security systems locations security settings online banking      ,0,0,0,0
229,0,  right opinion understand way people bread butter job  , loveliness ,care nurse treat competition balmonds worth       ,0,data security systems locations security settings online banking      ,0,0,0,0
230,0,job people ghost  , beauty ,care nurse treat competition balmonds worth       ,0,data security systems locations security settings online banking      ,0,0,0,0
231,0,absolute nonsense ,graduates , kingdom day paradise  ,0,set invoices auto generate custom criteria   ,0,0,0,0
232,0, bullshit ,graduate   ,  day paradise  ,0,set invoices auto generate custom criteria   ,0,0,0,0
233,0, bullshit ,obama graduates change  ,  day paradise  ,0,set invoices auto generate custom criteria home software life     ,0,0,0,0
234,0, piece work i , katie , i  daphne fan rain  ,0,finger time income data business invoices auto generate custom criteria track enquiries occupancy rates   ,0,0,0,0
235,0,piece work    ,katies marley instability ,i baby daphne  ,0,finger time income data business invoices auto generate custom criteria track enquiries occupancy rates  ,0,0,0,0
236,0, piece work , katie ,  sure daphne celeste  ,0,resident occupancy management finger time income data business invoices auto generate custom criteria track enquiries occupancy rates  ,0,0,0,0
237,0, coward  ,  jo ,micu trolley  ,0,paper records setup service    information  ,0,0,0,0
238,0,aka cowards nothing jobs ,   jo       , trolley dash floor         ,0,paper records setup service    information  ,0,0,0,0
239,0,cowards deserve ,     jo  ,i trolley dash whole    ,0,paper records setup service    information  ,0,0,0,0
240,0,  share areas kind hampw everyone kind courage curiosity traits ones months , type run  , crash burn  ,0,care plans place cloud paper time saver  care delivery  call    ,0,0,0,0
241,0,belongs people  share message gratitude heroes democracy  , type  ,question number door press morning car crash interview pram list  ,0,care records place log credentials time information today    ,0,0,0,0
242,0,gratitude  ,types , party party rave club street car crash interview today family shower criminal  ,0,care records place log credentials time information today    ,0,0,0,0
243,0, nope ,wednesday ,winter guest wc ryan   ,0,residents track enquiries occupancy rates finger time income data business   ,0,0,0,0
244,0,nope nope  , wednesday   ,yesterday tattoo ryan chance i idea ,0,track enquiries occupancy rates  software     ,0,0,0,0
245,0, quick answer nope ,wednesday , wolves ryan ,0,track enquiries occupancy rates  software     ,0,0,0,0
246,0,superb  ,macron generation hope generation lead        ,pneumonia infection time head thing body ignores strike  ,0,record enquiries service fusion identify sources enquiries service users  ,0,0,0,0
247,0,superb i  ,writing hope  ,clinic children prescription respiratory tract infections parents childhood illnesses  ,0,record  service fusion identify sources enquiries service users  ,0,0,0,0
248,0, superb ,hope hope reason hope , i pneumonia weeks arm sore glad ,0,record  service fusion identify sources enquiries service users  ,0,0,0,0
249,0,moronic ,date tweet wednesday  chat bronchiolitis   ,morning merv thank day ,0,systems locations compliant security settings online banking      ,0,0,0,0
250,0, mornin ,forget tweet chat wednesday bronchiolitis join  ,morning merv awww sweet i phone i  ,0,systems locations compliant security settings online banking      ,0,0,0,0
251,0, moronic ,tweet chat october bronchiolitis   ,morning merv  ,0,systems locations compliant security settings online banking      ,0,0,0,0
252,0, bloomin ,     liz , i  love ,0,fusion care plan family portal resident access family health professionals access levels fusion information   ,0,0,0,0
253,0,bloomin sadist  ,laughter liz deal  john crace  , i manbut i love  ,0,   functionality healthcare registration  contact fusion  ,0,0,0,0
254,0, bloomin   , liz pertinent message , i love  ,0,fusion care plan family portal resident access family health professionals access levels resolution time residents fusion  ,0,0,0,0
255,0, i part family  ,hiya parents ,students gen nclex practice judgment approach health assessment learn     ,0,officer cecap vacancy jhpiego nigeria ,0,0,0,0
256,0, i family members ,hiya sunshine  ,educators  judgment skills  support needs students educators coursepoint     ,0,supervision  quality improvement specialist vacancy jhpiego nigeria openings ,0,0,0,0
257,0, i family  ,hiya  ,blog seedhouse vanessa peutherer importance judgement education practice   ,0,officer prep vacancy jhpiego nigeria ,0,0,0,0
258,0, fyi ,              road trip    ,0,0,ncdc records infections cases ,0,0,0,0
259,0,  fyi ,rn road trip  ,0,0,ncdc records infections ,0,0,0,0
260,0, fyi ,    i lady road trip ,0,0,covid ncdc records infections ,0,0,0,0
261,0,gosh  ,places ,0,0,lagos kicks fault fg vaccine sale surfaces ,0,0,0,0
262,0, gosh  , places ,0,0,vaccine dips nigeria ,0,0,0,0
263,0,gosh day  ,places ,0,0,nigeria phase vaccination today ,0,0,0,0
264,0,yep ,grief ,0,0,edition state mandatory development programme mcpdp  ,0,0,0,0
265,0,yep  , welcome grief ,0,0,state mandatory development programme mcpdp collaboration   ,0,0,0,0
266,0,yep ,stages grief  ,0,0,mandatory development programme mcpdp  ,0,0,0,0
267,0, doubt ,thanks hope ,0,0,rivers schedule credit unit courses nursing midwifery council nigeria license renewal  ,0,0,0,0
268,0,doubt ,          thanks hope ,0,0,training schedule credit unit courses nursing midwifery council nigeria license renewal  ,0,0,0,0
269,0,doubt ,  thanks hope ,0,0,septemberoctober training schedule credit unit courses nursing midwifery council nigeria license renewal  ,0,0,0,0
270,0,thank ,congrats students ,0,0,0,0,0,0,0
271,0,thank ,    congratulations students day ,0,0,0,0,0,0,0
272,0,thank ,congratulations  achievement i graduation day   ,0,0,0,0,0,0,0
273,0,thank passionate leadership fight    ,   morning deb  path day ,0,0,0,0,0,0,0
274,0,thank steadfast leadership pleasure leader chapter   ,   morning deb i reflective day ,0,0,0,0,0,0,0
275,0,richard thank year leadership    ,morning bab ,0,0,0,0,0,0,0
276,0,day hell everyone  ,                                             morning jo day   ,0,0,0,0,0,0,0
277,0,day everyone  ,ah jo cheddar night ,0,0,0,0,0,0,0
278,0, i day something i something someone i agree  i someone ,                                          morning jo  fellow hander i   day ,0,0,0,0,0,0,0
279,0, word asks awake injustices world ,          morning fi ,0,0,0,0,0,0,0
280,0,  justice individuals societal ,          morning fi  ,0,0,0,0,0,0,0
281,0,justice ,          morning fi ,0,0,0,0,0,0,0
282,0,time years   ,bereavement service today  service zoom access    ,0,0,0,0,0,0,0
283,0,time time years ,grief bereavement result  range support line manager resources staff    ,0,0,0,0,0,0,0
284,0, time years ,bereavement team    ,0,0,0,0,0,0,0
285,0,             pledge   ,                                          morning hope wednesday ,0,0,0,0,0,0,0
286,0,hair reiterate    pledge downbanding      ,                                          morning hope wednesday ,0,0,0,0,0,0,0
287,0,i proposal capstone yee yee ,                                       morning hope terrific tuesday ,0,0,0,0,0,0,0
288,0, jacket anyone  ,congrats wen   ,0,0,0,0,0,0,0
289,0, gah jacket  ,congrats    ,0,0,0,0,0,0,0
290,0,gonna gold rush kid jacket ,  ahhh congrats ,0,0,0,0,0,0,0
291,0,welcome healthcare assistants apprentices hca academy week luck teams trust   ,lad  ,0,0,0,0,0,0,0
292,0,warm welcome healthcare assistants apprentices hca academy week luck teams trust   ,  lad  ,0,0,0,0,0,0,0
293,0,welcome healthcare assistants apprentices hca academy week luck teams trust   ,lad ,0,0,0,0,0,0,0
294,0, i framework health justice context ,fab louise congratulations health justice primary care ,0,0,0,0,0,0,0
295,0,  things emma health justice settings ,  louise credit team  day  ,0,0,0,0,0,0,0
296,0, today colleagues health justice variety job roles  , love louise ,0,0,0,0,0,0,0
297,0,ceos ,morning sweetie ,0,0,0,0,0,0,0
298,0,  ceos i ,morning sweetie ,0,0,0,0,0,0,0
299,0,world jim ceo group    ,morning sweetie ,0,0,0,0,0,0,0
300,0, retirement catherine  touch ,people generation morals manners tube way hour night shift evening i person people  person rest middle seat lady ,0,0,0,0,0,0,0
301,0,catherine   ,manners ,0,0,0,0,0,0,0
302,0,   catherine  ,    courtesy   ,0,0,0,0,0,0,0
303,0,morning carol shabby  ,congratulations thanks work editorinchief years ,0,0,0,0,0,0,0
304,0,morning carol yes kpis ,wee esther year congratulations proud future guy i kind thoughtful right guy ,0,0,0,0,0,0,0
305,0,shorts carol life spoon widow morning  ,   years today congratulations  ,0,0,0,0,0,0,0
306,0, caitriona matter darling , grip ,0,0,0,0,0,0,0
307,0, caitriona virgin media friend year time sky , i grocery delivery pickup orders grip ,0,0,0,0,0,0,0
308,0,  watch tonight  thank heads caitriona ,way grip price ,0,0,0,0,0,0,0
309,0, hi  welcome syics coms leads cartwright  ,dude ,0,0,0,0,0,0,0
310,0,  thanks teams southmead bri , dudes ,0,0,0,0,0,0,0
311,0,         thanks  team today ,dude ,0,0,0,0,0,0,0
312,0,magpie robin tit sparrow thrush while  , freddie cake  ,0,0,0,0,0,0,0
313,0,                    land  goodnight robin  ,freddie  ,0,0,0,0,0,0,0
314,0,              robin ,freddie sunrise sip mums  ,0,0,0,0,0,0,0
315,0,dyk nnpbc vehicle nurses profession change health policy    ,awww  ,0,0,0,0,0,0,0
316,0,nnpbc support access people reproductive health care part health care services  ,awww  ,0,0,0,0,0,0,0
317,0,nnpbc partner health mycare nurses access health services employment learn    , awww ,0,0,0,0,0,0,0
318,0,nnpbc access discounts products services members  ,wish i ,0,0,0,0,0,0,0
319,0,members access products services   , yes i lots facebook wish i ,0,0,0,0,0,0,0
320,0,dyk nnpbc members access variety perks benefits discounts products services  ,  i wish ,0,0,0,0,0,0,0
321,0,nnpbc community specialist team salary benefits   ,goal reds ,0,0,0,0,0,0,0
322,0,nnpbc community specialist team salary benefits work  ,reds   ,0,0,0,0,0,0,0
323,0,nnpbc community specialist team salary benefits   ,games reds ,0,0,0,0,0,0,0
324,0,  i scotland  production history i outlander samhim family  , mate spain shortages bullshit ,0,0,0,0,0,0,0
325,0, series outlander seasons i part money dick turpins provide , masses i spain  ,0,0,0,0,0,0,0
326,0,outlander amazon top fee  subscription year  tv license dvd release way fans greed ,ohh  spain u   ,0,0,0,0,0,0,0
327,0,welcome family tikki ,coast norway ,0,0,0,0,0,0,0
328,0,   welcome family cath ,i friend coast  ,0,0,0,0,0,0,0
329,0,welcome family lyn ,     coast ,0,0,0,0,0,0,0
330,0,morning jon  , definitelyd ,0,0,0,0,0,0,0
331,0,morning jon  , mend get ,0,0,0,0,0,0,0
332,0,morning jon   , mend ,0,0,0,0,0,0,0
333,0,morning chris  ,amount information   ,0,0,0,0,0,0,0
334,0,                 morning chris  ,amount boys  ,0,0,0,0,0,0,0
335,0,          morning chris ,amount ,0,0,0,0,0,0,0
336,0,sam heughan   , beautiful photo ,0,0,0,0,0,0,0
337,0,sam heughan starz eye comment humour  tshirt line  , brilliant photo  ,0,0,0,0,0,0,0
338,0,sam heughan magazine  , beautiful photo ,0,0,0,0,0,0,0
339,0,          morning chris friends friday  ,hope alright ,0,0,0,0,0,0,0
340,0,          morning chris friends super saturday  ,hope ok ,0,0,0,0,0,0,0
341,0,           morning chris friends wednesday  , hope ok ,0,0,0,0,0,0,0
342,0,          morning chris friends photo hope dat  , birthday x ,0,0,0,0,0,0,0
343,0,           morning chris friends hope day  , birthday christine xxx ,0,0,0,0,0,0,0
344,0,          morning chris friends hope day , birthday iris xx ,0,0,0,0,0,0,0
345,0,0,birthday judehope today yesterday  ,0,0,0,0,0,0,0
346,0,0,birthday today ,0,0,0,0,0,0,0
347,0,0, humpday jon birthday yesterday birthday  ,0,0,0,0,0,0,0
348,0,0,borough care head finance borough care provider care people stockport homes borough   ,0,0,0,0,0,0,0
349,0,0,borough care people part citizen service   project court home   ,0,0,0,0,0,0,0
350,0,0,borough care provider care people stockport workplace workplace resource payroll system borough care employees control information   ,0,0,0,0,0,0,0
351,0,0,   bf ,0,0,0,0,0,0,0
352,0,0,bffs yo pool ice cream gunna get man immaculate conception yo bff ,0,0,0,0,0,0,0
353,0,0, i bf ,0,0,0,0,0,0,0
354,0,0,trip week ,0,0,0,0,0,0,0
355,0,0,yo trip today killers week ,0,0,0,0,0,0,0
356,0,0,week trip adults   ,0,0,0,0,0,0,0
357,0,0,liz truss workers graft skill rivals reveals ,0,0,0,0,0,0,0
358,0,0,liz truss farmers rivers tape campaigners ,0,0,0,0,0,0,0
359,0,0, liz truss mccann ,0,0,0,0,0,0,0
360,0,0,   catch  ,0,0,0,0,0,0,0
361,0,0,      wow catch ,0,0,0,0,0,0,0
362,0,0, i j baby catch ,0,0,0,0,0,0,0
363,0,0, pleasure jo  ,0,0,0,0,0,0,0
364,0,0,thank jo ,0,0,0,0,0,0,0
365,0,0,        pleasure jo  ,0,0,0,0,0,0,0
366,0,0, sendoff phil air  ,0,0,0,0,0,0,0
367,0,0,   work post phil  ,0,0,0,0,0,0,0
368,0,0,  phil  work  ,0,0,0,0,0,0,0
369,0,0,job sasha toy  ,0,0,0,0,0,0,0
370,0,0,sasha guy  ,0,0,0,0,0,0,0
371,0,0,sasha  ,0,0,0,0,0,0,0
372,0,0,dwp attendance allowance hold cornwall council tax queue eon answer sww web addresses websites letter  life ,0,0,0,0,0,0,0
373,0,0,nurses access patterns staff council terms september employees right day work  ,0,0,0,0,0,0,0
374,0,0,staff day employment provisions staff council effect september     ,0,0,0,0,0,0,0
375,0,0,awwww grandad  ,0,0,0,0,0,0,0
376,0,0,grandad grandad ,0,0,0,0,0,0,0
377,0,0,i grandaughter bibs ,0,0,0,0,0,0,0
378,0,0, hurray ,0,0,0,0,0,0,0
379,0,0, hurray  ,0,0,0,0,0,0,0
380,0,0,hurrah    ,0,0,0,0,0,0,0
381,0,0, i comments thing path esp someone  ,0,0,0,0,0,0,0
382,0,0,paths    ,0,0,0,0,0,0,0
383,0,0, path  ,0,0,0,0,0,0,0
384,0,0,  mrs psycho ,0,0,0,0,0,0,0
385,0,0,mrs tv    ,0,0,0,0,0,0,0
386,0,0, man share mrs  creep ,0,0,0,0,0,0,0
387,0,0, birthday   likes follow book ,0,0,0,0,0,0,0
388,0,0,way birthday birthday books type birthday husband ,0,0,0,0,0,0,0
389,0,0, book birthday ,0,0,0,0,0,0,0
390,0,0,matt hancock hero  ,0,0,0,0,0,0,0
391,0,0,kent crisps ,0,0,0,0,0,0,0
392,0,0,matt hancocks  ,0,0,0,0,0,0,0
393,0,0, christine  help  ,0,0,0,0,0,0,0
394,0,0,  picture christine year ,0,0,0,0,0,0,0
395,0,0, fingers christine  ,0,0,0,0,0,0,0
396,0,0,impact  practice development school experience  learn  july        ,0,0,0,0,0,0,0
397,0,0,impact  practice development school experience  learn  july        ,0,0,0,0,0,0,0
398,0,0,impact  practice development school experience  learn  july        ,0,0,0,0,0,0,0
399,0,0,thank hope day ,0,0,0,0,0,0,0
400,0,0,thank hope day ,0,0,0,0,0,0,0
401,0,0,thank hope day ,0,0,0,0,0,0,0
402,0,0,record vacancies applicant details record timeline success rejection convert staff member acceptance repetition       ,0,0,0,0,0,0,0
403,0,0,record vacancies applicant details record timeline success rejection convert staff member acceptance repetition       ,0,0,0,0,0,0,0
404,0,0,record vacancies applicant details record timeline success rejection convert staff member acceptance repetition       ,0,0,0,0,0,0,0
405,0,0,job check video offer places places  please share colleagues friends ,0,0,0,0,0,0,0
406,0,0, planning job check video offer places places  please share colleagues friends ,0,0,0,0,0,0,0
407,0,0, i i design video production company place places style ,0,0,0,0,0,0,0
408,0,0,morning emil  ,0,0,0,0,0,0,0
409,0,0,morning emil fort  ,0,0,0,0,0,0,0
410,0,0,morning emil  ,0,0,0,0,0,0,0
411,0,0,                                          morning christine hope day ,0,0,0,0,0,0,0
412,0,0,                                                morning christine  day ,0,0,0,0,0,0,0
413,0,0,                                         birthday christine  hope day ,0,0,0,0,0,0,0
