,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
89,0,agree tiredness,0,pleasure,strike everything fridge course cook watch picnic water world,0,googly spinner,0,life load parent photo time,0,0,0,0,0,dorset part world,0,0,0,0,0
90,0,plant brain,0,thanks support,someone life moron,0,anthem barhau,0,spoiler alert rucsac,0,0,0,0,0,classroom classroom year course year year year september,0,0,0,0,0
91,0,brain,0,thanks help support,definition moron,0,anthem time flight,0,everything cross line spoiler,0,0,0,0,0,classroom year education,0,0,0,0,0
92,0,brain model,0,thank support,moron,0,anthem patriot,0,please spoiler beginning,0,0,0,0,0,year classroom,0,0,0,0,0
93,0,morning week lifetime,0,thank kind,fool brain shake tomorrow,0,florence book carrie,0,tennis device tense,0,0,0,0,0,scott twine,0,0,0,0,0
94,0,week week week morning exposure,0,thank kind,fool speak doubt,0,carrie maintenance,0,wtaf,0,0,0,0,0,goal year scott twine award,0,0,0,0,0
95,0,morning week,0,thank kind,fool thing,0,carrie minute behaviour bunch,0,tennis time year step today target,0,0,0,0,0,family scott twine,0,0,0,0,0
96,0,janet star,0,thank work,thursday sense,0,nice,0,camera camera,0,0,0,0,0,0,0,0,0,0,0
97,0,michelle course,0,thank work,thursday,0,sweet,0,front camera,0,0,0,0,0,0,0,0,0,0,0
98,0,shirley knott pullin,0,thanks work,thursday,0,nice,0,phone camera mustard,0,0,0,0,0,0,0,0,0,0,0
99,0,kind toria company people,0,debra people ignorance,friday weekend,0,look thank,0,trip baby hunger world home,0,0,0,0,0,0,0,0,0,0,0
100,0,people business service type stinking occasion,0,ignorance ideology candidate adam remote learning,friday weekend,0,look thank,0,race hunger game,0,0,0,0,0,0,0,0,0,0,0
101,0,people exist company,0,combination ignorance exceptionalism,friday weekend,0,look thanks,0,class thing view school hunger game,0,0,0,0,0,0,0,0,0,0,0
102,0,star pleasure,0,yeah mood,heck yeah,0,magazine publication year look information year publication,0,punishment reminding rule,0,0,0,0,0,0,0,0,0,0,0
103,0,star turn,0,calm fitbit mood tracker,hell yeah,0,mine simple year hassle display work,0,punishment consequence,0,0,0,0,0,0,0,0,0,0,0
104,0,reach star,0,okay mood,hell yeah,0,look year,0,nothing punishmentall life skill disservice,0,0,0,0,0,0,0,0,0,0,0
105,0,james today progs passion film radio everything thanks easter,0,yesterday thought prayer,0,0,assume keeper culture place moment,0,link work,0,0,0,0,0,0,0,0,0,0,0
106,0,morning james weekend,0,thought prayer,0,0,play keeper,0,link page work,0,0,0,0,0,0,0,0,0,0,0
107,0,morning james super friday,0,prayer thought,0,0,manager reserve keeper knockout game,0,link work,0,0,0,0,0,0,0,0,0,0,0
108,0,sorry hope,0,look company,0,0,0,0,type mirror life,0,0,0,0,0,0,0,0,0,0,0
109,0,sorry hope,0,hoddle companyit,0,0,0,0,object tierview mirror,0,0,0,0,0,0,0,0,0,0,0
110,0,sorry hope okay,0,company leap others,0,0,0,0,yeah mirror,0,0,0,0,0,0,0,0,0,0,0
111,0,thanks hope,0,form intensity friendship strongest,0,0,0,0,online sussex,0,0,0,0,0,0,0,0,0,0,0
112,0,thanks hope,0,thank doubt behaviour medium positivity connection support friendship shade,0,0,0,0,west sussex answer,0,0,0,0,0,0,0,0,0,0,0
113,0,hope thanks,0,person friend friend season damage confidence future,0,0,0,0,sussex family,0,0,0,0,0,0,0,0,0,0,0
114,0,everyone house claire rest well,0,brill bunch,0,0,0,0,stopping photo,0,0,0,0,0,0,0,0,0,0,0
115,0,claire listen,0,brill bunch,0,0,0,0,treat photo,0,0,0,0,0,0,0,0,0,0,0
116,0,opportunity touch claire,0,bunch insect,0,0,0,0,share photo photo,0,0,0,0,0,0,0,0,0,0,0
117,0,gosh supervisor,0,today discussion progress attainment everything side,0,0,0,0,thanks ollie,0,0,0,0,0,0,0,0,0,0,0
118,0,gonad genius,0,stand point progress anything,0,0,0,0,ollie covid weekend,0,0,0,0,0,0,0,0,0,0,0
119,0,comet gosh,0,make progress theory,0,0,0,0,title thanks ollie,0,0,0,0,0,0,0,0,0,0,0
120,0,hope,0,mike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,hope right,0,mike mechanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,hope,0,walter jesse mike nesmith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,mine today,0,thank world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,mine yesterday life,0,welcome world account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,mine today selection,0,thanks show world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,combo hashtags,0,thank friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,people hashtag mean kitten,0,thank friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,love hashtag,0,thank friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,morning james,0,thank thing development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,morning james,0,thank feature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,morning james,0,thank investigation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,thing beansprouts,0,thank goodness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,bean yesterday bean rule heinz,0,thank goodness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,bean fluffy yuor,0,goodness thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,kind chance,0,type thing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,hope stuff,0,kind refers thing idea ability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,hope hiviz,0,term kind analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,tissue paper candle battery,0,sorry love prayer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,gramophone cabinet shelf candle,0,thank prayer tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,remind validating candle,0,continue christa prayer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,dark time,0,please version emoji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,light dark night,0,touch salivating emoji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,darkness deer night,0,cannot emoji ladybird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,break grandma grandpa,0,morning mike thanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,grandma grandpa today time train yaaay,0,morning mike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,register beginning science lesson gran grandma grandpa roll,0,morning mike thanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,post scent,0,thanks friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,habanita molinard blond caron fragrance overlap love vintage perfume,0,thanks friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,fact gucci perfume exists made,0,thanks friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,morning nicola,0,glad year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,morning nicola,0,glad something year thank kind word watch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,morning nicola,0,glad year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,level geology department please,0,friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,book cafe byte anthropocene geologist school james bond casino royale,0,friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,geology deadline proud learner course labyrinthitis covid word marker anthropocene epoch,0,friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,stay folk,0,daft prevents effort smartness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,return opponent folk,0,effort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,folk side hope,0,effort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,minute james bond gold,0,pacingyes physio access moment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,matt bond connery,0,yeah pace rage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,james bond film,0,avoid thing pace skill speed difference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0,linkenin morning people world,0,imogen cochair momentum group powerhouse energy commitment idea momentum level momentum level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,morning people,0,momentum group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,morning people,0,building momentum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,case scenario animal cutie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,cutie mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,cuties,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,whilst listen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,listening,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,watch listen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0,wonder word,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,realise wonder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,wonder dispatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,regardless thatits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,fine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,fine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,craig thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,thank service craig dawson complaint home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,craig reply absolute hero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,home tomorrow treat attention,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,home tomorrow think,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,home tomorrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,morning hope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,morning hope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,morning hope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,excitement potential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,excitement designer sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,excitement level ailsa news,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,moller lyon moller intro knowledge lyon baghdad court caliph kennedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,bath baghdad alkhwarizmi greek arabic year translation work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,assimilate time rich complexity baghdad sense background knowledge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,moly show realise nicola nicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,weekend nicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,nicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,morning claire hope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,friday claire ready weekend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,morning claire hope tuesday kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,morning claire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,morning claire routine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,morning claire thanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
